select,amazon_url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Business/zgbs/mobile-apps/10298305011,Apps & Games,Business,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Accounting-Expenses/zgbs/mobile-apps/9408434011,Apps & Games,Business,Accounting & Expenses,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Document-Editing/zgbs/mobile-apps/9408452011,Apps & Games,Business,Document Editing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Document-Viewers/zgbs/mobile-apps/9408454011,Apps & Games,Business,Document Viewers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Email-Clients/zgbs/mobile-apps/9408468011,Apps & Games,Business,Email Clients,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Graphic-Design/zgbs/mobile-apps/9408456011,Apps & Games,Business,Graphic Design,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Meetings-Conferencing/zgbs/mobile-apps/9408451011,Apps & Games,Business,Meetings & Conferencing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Organizers-Assistants/zgbs/mobile-apps/9408459011,Apps & Games,Business,Organizers & Assistants,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Presentations/zgbs/mobile-apps/9408460011,Apps & Games,Business,Presentations,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Professional-Networking/zgbs/mobile-apps/9408476011,Apps & Games,Business,Networking,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Scanning-Printing/zgbs/mobile-apps/9408932011,Apps & Games,Business,Scanning & Printing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Do-Lists-Reminders/zgbs/mobile-apps/9408461011,Apps & Games,Business,To-Do Lists & Reminders,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Communication/zgbs/mobile-apps/9408466011,Apps & Games,Communication,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Customization/zgbs/mobile-apps/9408481011,Apps & Games,Customization,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Ringtones-Notifications/zgbs/mobile-apps/9408485011,Apps & Games,Customization,Ringtones & Notifications,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Themes/zgbs/mobile-apps/9408486011,Apps & Games,Customization,Themes,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Wallpapers-Images/zgbs/mobile-apps/9408487011,Apps & Games,Customization,Wallpapers & Images,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Widgets/zgbs/mobile-apps/9408942011,Apps & Games,Customization,Widgets,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Education/zgbs/mobile-apps/9408490011,Apps & Games,Education,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Finance/zgbs/mobile-apps/9408433011,Apps & Games,Finance,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Banking/zgbs/mobile-apps/9408435011,Apps & Games,Finance,Banking,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Currency-Converters/zgbs/mobile-apps/9408436011,Apps & Games,Finance,Currency Converters,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Payments-Money-Transfers/zgbs/mobile-apps/9408440011,Apps & Games,Finance,Payments & Money Transfers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Personal-Finance/zgbs/mobile-apps/9408441011,Apps & Games,Finance,Personal Finance,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Stocks-Investing/zgbs/mobile-apps/9408438011,Apps & Games,Finance,Stocks & Investing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Tax-Calculators/zgbs/mobile-apps/9408442011,Apps & Games,Finance,Tax Calculators,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Food-Drink/zgbs/mobile-apps/9408523011,Apps & Games,Food & Drink,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Cooking-Recipes/zgbs/mobile-apps/9408524011,Apps & Games,Food & Drink,Cooking & Recipes,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Wine-Beverages/zgbs/mobile-apps/9408527011,Apps & Games,Food & Drink,Wine & Beverages,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Games/zgbs/mobile-apps/9209902011,Apps & Games,Games,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Action-Games/zgbs/mobile-apps/9408529011,Apps & Games,Games,Action,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Adventure-Games/zgbs/mobile-apps/9408530011,Apps & Games,Games,Adventure,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Arcade-Games/zgbs/mobile-apps/9408531011,Apps & Games,Games,Arcade,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Board-Games/zgbs/mobile-apps/9408532011,Apps & Games,Games,Board,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Brain-Puzzle-Games/zgbs/mobile-apps/9408533011,Apps & Games,Games,Brain & Puzzle,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Card-Games/zgbs/mobile-apps/9408534011,Apps & Games,Games,Cards,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Casino-Games/zgbs/mobile-apps/9408535011,Apps & Games,Games,Casino,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Dice-Games/zgbs/mobile-apps/9408536011,Apps & Games,Games,Dice,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Rhythm-Games/zgbs/mobile-apps/9408537011,Apps & Games,Games,Music & Rhythm,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Racing-Games/zgbs/mobile-apps/9408538011,Apps & Games,Games,Racing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Role-Playing-Games/zgbs/mobile-apps/9408539011,Apps & Games,Games,Role Playing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Seek-Find-Games/zgbs/mobile-apps/9408541011,Apps & Games,Games,Seek & Find,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Simulation-Games/zgbs/mobile-apps/9408542011,Apps & Games,Games,Simulation,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Sports-Games/zgbs/mobile-apps/9408543011,Apps & Games,Games,Sports Games,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Baseball-Games/zgbs/mobile-apps/9408545011,Apps & Games,Games,Sports Games,Baseball,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Basketball-Games/zgbs/mobile-apps/9408546011,Apps & Games,Games,Sports Games,Basketball,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Bowling-Games/zgbs/mobile-apps/9408547011,Apps & Games,Games,Sports Games,Bowling,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Boxing-Games/zgbs/mobile-apps/9408548011,Apps & Games,Games,Sports Games,Boxing,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Cricket-Games/zgbs/mobile-apps/9408550011,Apps & Games,Games,Sports Games,Cricket,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Extreme-Sports-Games/zgbs/mobile-apps/9408553011,Apps & Games,Games,Sports Games,Extreme Sports,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Fantasy-Sports/zgbs/mobile-apps/9408877011,Apps & Games,Games,Sports Games,Fantasy,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Fishing-Games/zgbs/mobile-apps/9408555011,Apps & Games,Games,Sports Games,Fishing,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Football-Games/zgbs/mobile-apps/9408556011,Apps & Games,Games,Sports Games,Football,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Golf-Games/zgbs/mobile-apps/9408557011,Apps & Games,Games,Sports Games,Golf,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Ice-Hockey-Games/zgbs/mobile-apps/9408560011,Apps & Games,Games,Sports Games,Ice Hockey,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Pool-Billiards-Games/zgbs/mobile-apps/9408565011,Apps & Games,Games,Sports Games,Pool & Billiards,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Soccer-Games/zgbs/mobile-apps/9408568011,Apps & Games,Games,Sports Games,Soccer,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Tennis-Games/zgbs/mobile-apps/9408571011,Apps & Games,Games,Sports Games,Tennis,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Strategy-Games/zgbs/mobile-apps/9408578011,Apps & Games,Games,Strategy,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Trivia-Games/zgbs/mobile-apps/9408579011,Apps & Games,Games,Trivia,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Word-Games/zgbs/mobile-apps/9408580011,Apps & Games,Games,Words,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Health-Fitness/zgbs/mobile-apps/9408749011,Apps & Games,Health & Fitness,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Activity-Tracking/zgbs/mobile-apps/9408750011,Apps & Games,Health & Fitness,Activity Tracking,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Exercise-Motivation/zgbs/mobile-apps/9408751011,Apps & Games,Health & Fitness,Exercise Motivation,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Heart-Rate-Monitors/zgbs/mobile-apps/9408752011,Apps & Games,Health & Fitness,Heart Rate Monitors,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Massage-Guides/zgbs/mobile-apps/9408753011,Apps & Games,Health & Fitness,Massage Guides,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Meditation-Guides/zgbs/mobile-apps/9408727011,Apps & Games,Health & Fitness,Meditation Guides,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Menstrual-Trackers/zgbs/mobile-apps/9408758011,Apps & Games,Health & Fitness,Menstrual Trackers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Nutrition-Diet/zgbs/mobile-apps/9408759011,Apps & Games,Health & Fitness,Nutrition & Diet,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Pregnancy/zgbs/mobile-apps/9408760011,Apps & Games,Health & Fitness,Pregnancy,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Sleep-Tracking/zgbs/mobile-apps/9408761011,Apps & Games,Health & Fitness,Sleep Tracking,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Sounds-Relaxation/zgbs/mobile-apps/9408774011,Apps & Games,Health & Fitness,Sounds & Relaxation,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Workout-Guides/zgbs/mobile-apps/9408762011,Apps & Games,Health & Fitness,Workout Guides,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Yoga-Guides/zgbs/mobile-apps/9408763011,Apps & Games,Health & Fitness,Yoga Guides,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Kids/zgbs/mobile-apps/9408582011,Apps & Games,Kids,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Book-Readers-Players-Kids/zgbs/mobile-apps/9408583011,Apps & Games,Kids,Book Readers & Players,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Education-Kids/zgbs/mobile-apps/9408633011,Apps & Games,Kids,Education,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Games-Kids/zgbs/mobile-apps/9408584011,Apps & Games,Kids,Games,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Movie-TV-Streaming-Kids/zgbs/mobile-apps/9408708011,Apps & Games,Kids,Movie & TV Streaming,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Audio-Kids/zgbs/mobile-apps/9408649011,Apps & Games,Kids,Music & Audio,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Lifestyle/zgbs/mobile-apps/9408710011,Apps & Games,Lifestyle,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Astrology/zgbs/mobile-apps/9408711011,Apps & Games,Lifestyle,Astrology,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Beauty-Cosmetics/zgbs/mobile-apps/9408713011,Apps & Games,Lifestyle,Beauty & Cosmetics,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Celebrities/zgbs/mobile-apps/9408714011,Apps & Games,Lifestyle,Celebrities,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Crafts-DIY/zgbs/mobile-apps/9408716011,Apps & Games,Lifestyle,Crafts & DIY,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Creative-Writing/zgbs/mobile-apps/9408717011,Apps & Games,Lifestyle,Creative Writing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Diaries/zgbs/mobile-apps/9408718011,Apps & Games,Lifestyle,Diaries,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Fashion-Style/zgbs/mobile-apps/9408722011,Apps & Games,Lifestyle,Fashion & Style,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Game-Rules/zgbs/mobile-apps/9408723011,Apps & Games,Lifestyle,Game Rules,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Home-Garden/zgbs/mobile-apps/9408725011,Apps & Games,Lifestyle,Home & Garden,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Outdoors-Nature/zgbs/mobile-apps/9408729011,Apps & Games,Lifestyle,Outdoors & Nature,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Parenting/zgbs/mobile-apps/9408730011,Apps & Games,Lifestyle,Parenting,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Pets-Animals/zgbs/mobile-apps/9408731011,Apps & Games,Lifestyle,Pets & Animals,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Quotes/zgbs/mobile-apps/9408732011,Apps & Games,Lifestyle,Quotes,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Relationships/zgbs/mobile-apps/9408740011,Apps & Games,Lifestyle,Relationships,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Religion-Spirituality/zgbs/mobile-apps/9408741011,Apps & Games,Lifestyle,Religion & Spirituality,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Self-Improvement/zgbs/mobile-apps/9408743011,Apps & Games,Lifestyle,Self Improvement,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Sexuality/zgbs/mobile-apps/9408744011,Apps & Games,Lifestyle,Sexuality,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Tattoos-Body-Piercing/zgbs/mobile-apps/9408746011,Apps & Games,Lifestyle,Tattoos & Body Piercing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Wedding/zgbs/mobile-apps/9408747011,Apps & Games,Lifestyle,Wedding,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Local/zgbs/mobile-apps/10298309011,Apps & Games,Local,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Business-Locators/zgbs/mobile-apps/9408787011,Apps & Games,Local,Business Locators,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Navigation/zgbs/mobile-apps/9408794011,Apps & Games,Local,Navigation,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Offline-Maps/zgbs/mobile-apps/9408795011,Apps & Games,Local,Offline Maps,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Real-Estate/zgbs/mobile-apps/9408733011,Apps & Games,Local,Real Estate,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Taxi-Ridesharing/zgbs/mobile-apps/9408788011,Apps & Games,Local,Taxi & Ridesharing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Magazines/zgbs/mobile-apps/9408805011,Apps & Games,Magazines,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Medical/zgbs/mobile-apps/10298306011,Apps & Games,Medical,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Medical-Education/zgbs/mobile-apps/9408755011,Apps & Games,Medical,Education,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Medical-Reference/zgbs/mobile-apps/9408756011,Apps & Games,Medical,Reference,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Movies-TV/zgbs/mobile-apps/9408765011,Apps & Games,Movies & TV,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Movie-Info-Reviews/zgbs/mobile-apps/9408769011,Apps & Games,Movies & TV,Movie Info & Reviews,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Demand-Movie-Streaming/zgbs/mobile-apps/9408766011,Apps & Games,Movies & TV,On-Demand Movie Streaming,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Video-Sharing/zgbs/mobile-apps/10298307011,Apps & Games,Movies & TV,Video-Sharing,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Audio/zgbs/mobile-apps/9408771011,Apps & Games,Music & Audio,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Audio-Recording/zgbs/mobile-apps/9408916011,Apps & Games,Music & Audio,Audio Recording,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Instruments-Music-Makers/zgbs/mobile-apps/9408775011,Apps & Games,Music & Audio,Instruments & Music Makers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Info-Reviews/zgbs/mobile-apps/9408474011,Apps & Games,Music & Audio,Music Info & Reviews,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Players/zgbs/mobile-apps/9408777011,Apps & Games,Music & Audio,Music Players,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Demand-Music-Streaming/zgbs/mobile-apps/9408776011,Apps & Games,Music & Audio,On-Demand Music Streaming,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Podcasts/zgbs/mobile-apps/9408781011,Apps & Games,Music & Audio,Podcasts,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Radio-Apps/zgbs/mobile-apps/9408782011,Apps & Games,Music & Audio,Radio,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Songbooks-Sheet-Music/zgbs/mobile-apps/9408783011,Apps & Games,Music & Audio,Songbooks & Sheet Music,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-News/zgbs/mobile-apps/9408802011,Apps & Games,News,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Feed-Aggregators/zgbs/mobile-apps/9408804011,Apps & Games,News,Feed Aggregators,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Newspapers/zgbs/mobile-apps/9408847011,Apps & Games,News,Newspapers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Sports-Fan-News/zgbs/mobile-apps/9408895011,Apps & Games,News,Sports Fan News,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Baseball-News/zgbs/mobile-apps/9408897011,Apps & Games,News,Sports Fan News,Baseball,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Football-News/zgbs/mobile-apps/9408901011,Apps & Games,News,Sports Fan News,Football,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Novelty/zgbs/mobile-apps/9408852011,Apps & Games,Novelty,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Funny-Pictures/zgbs/mobile-apps/9408859011,Apps & Games,Novelty,Funny Pictures,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Funny-Sounds/zgbs/mobile-apps/9408860011,Apps & Games,Novelty,Funny Sounds,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Prank-Biometric-Scanners/zgbs/mobile-apps/9408865011,Apps & Games,Novelty,Prank Biometric Scanners,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Screen-Pranks/zgbs/mobile-apps/9408866011,Apps & Games,Novelty,Screen Pranks,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Talking-Answering/zgbs/mobile-apps/9408869011,Apps & Games,Novelty,Talking & Answering,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Photo-Video/zgbs/mobile-apps/9408874011,Apps & Games,Photo & Video,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Productivity/zgbs/mobile-apps/9408449011,Apps & Games,Productivity,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Alarms-Clocks/zgbs/mobile-apps/9408915011,Apps & Games,Productivity,Alarms & Clocks,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Calculators/zgbs/mobile-apps/9408919011,Apps & Games,Productivity,Calculators,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Calendars/zgbs/mobile-apps/9408920011,Apps & Games,Productivity,Calendars,,,,,
